births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, state_name_2021, net_internal_migration_2019_20, deaths_2018_19, internal_departures_2018_19, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, lga_name_2021, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, lga_code_2021, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, births_2019_20, erp_2012, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, internal_departures_2020_21, erp_change_number_2020_21, internal_arrivals_2019_20, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, state_code_2021, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, primaryindex, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, internal_arrivals_2020_21, erp_2004, internal_arrivals_2018_19, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19
88,26,98,93,"New South Wales",-24,47,556,31,8,17,7,"Blayney",501,5,71,474,"10850",7,513,59,7350,7334,7378,-43,7408,7382,0.352200001478195,12,7,4,18,9,17,1524.64697265625,-2,16,6900,7041,6741,6821,-39,82,7274,7217,7143,517,7343,72,7322,7322,7303,556,26,493,17,9,544,61,1,34,4.85879993438721,2,12,6,6478,6562,6545,6649,554,6598,560,10,21,78
759,177,754,779,"New South Wales",-349,628,4816,92,332,166,301,"Blue Mountains",4635,225,593,4050,"10900",251,4386,652,79012,79191,79108,-391,78740,79195,-0.574500024318695,386,263,-549,720,374,705,1431.14416503906,-670,625,77102,77869,75600,76198,-336,710,78532,78553,78227,4588,78835,577,78889,78867,78705,5273,-455,4239,706,374,5026,525,1,127,55.0189018249512,38,13,334,76528,76651,76656,75971,4603,76436,4267,404,185,720
34,26,44,36,"New South Wales",-71,30,206,15,4,12,4,"Bogan",189,3,22,153,"10950",4,255,38,2666,2618,2580,-66,2481,2529,-1.89800000190735,6,4,-59,10,6,10,14599.8994140625,-75,9,2992,2999,2939,2972,-102,46,2982,3009,3013,226,2764,18,2846,2894,2926,262,-48,155,10,5,255,30,1,-2,0.169900000095367,1,14,4,3156,3052,3105,2964,187,3027,147,6,16,45
46,19,41,38,"New South Wales",6,26,255,19,3,19,3,"Bourke",216,2,27,174,"11150",2,261,19,2697,2626,2590,-92,2596,2625,-1.10479998588562,3,2,-57,6,2,5,41598.37109375,-48,5,3046,3013,3185,3073,-87,47,2998,3053,3033,214,2762,22,2801,2870,2903,280,-29,220,5,3,308,20,1,19,0.0623999983072281,0,15,3,3919,3642,3781,3349,232,3494,198,2,27,45
20,8,22,15,"New South Wales",-57,16,244,6,2,4,2,"Brewarrina",147,1,16,97,"11200",1,137,16,1671,1653,1611,-23,1520,1553,-2.12490010261536,2,1,-49,4,1,3,19162.029296875,-41,3,1944,1900,2004,1961,-40,11,1821,1874,1878,190,1710,14,1762,1786,1830,183,-33,133,3,2,170,13,1,-1,0.0793000012636185,0,16,2,2148,2078,2121,2029,142,2039,195,1,-2,22
203,35,225,200,"New South Wales",-180,210,1052,-8,30,-19,28,"Broken Hill",796,21,222,755,"11250",24,997,230,17883,17715,17477,-186,17230,17271,-0.237399995326996,41,25,-265,67,35,65,170.115295410156,-80,59,19604,19421,19753,19708,-242,197,18985,19151,19267,966,18114,190,18360,18627,18802,915,-41,786,65,35,982,247,1,-30,101.284202575684,4,17,26,20929,20403,20681,19915,835,20111,787,37,-50,202
1221,542,1058,1329,"New South Wales",-853,515,7907,661,2443,727,2290,"Canada Bay",6726,1836,494,6292,"11520",801,7261,456,94240,95064,96017,-1197,95919,96539,-0.642199993133545,1802,1383,-927,3720,1219,3584,19.923900604248,-709,3198,72320,75332,68309,70196,-969,1092,82636,80065,77709,7751,92534,516,90467,88565,85568,8608,-620,6898,3662,2397,7923,518,1,873,4814.26806640625,-453,23,1918,61940,64060,63077,66951,7899,65350,6980,1294,574,1176
5628,3055,5154,5681,"New South Wales",-4349,2131,23021,3473,4723,3380,4315,"Canterbury-Bankstown",18653,3192,2248,16360,"11570",3650,19798,2134,368409,373486,377836,-3970,378425,380363,-0.509500026702881,6438,3873,-4532,10319,5409,9982,110.237396240234,-5674,9001,322404,327793,310578,316155,-3438,5405,340387,335940,332118,22742,361862,2099,356328,350922,345692,25241,-1938,18393,10132,5351,22623,2179,1,3547,3432.81860351562,681,24,3881,307592,306316,307011,307118,19567,305670,18489,5667,3226,5604
37,22,43,35,"New South Wales",-43,23,215,29,12,12,10,"Carrathool",198,8,25,188,"11600",9,202,30,2798,2799,2798,-25,2789,2796,-0.250400006771088,14,9,-42,24,12,24,18934.484375,-30,22,2784,2778,2863,2827,-14,54,2668,2681,2732,227,2793,21,2766,2800,2797,256,-7,184,24,13,223,22,1,5,0.147300004959106,1,25,10,3290,3143,3246,2947,226,3054,173,14,32,52
387,121,361,453,"New South Wales",-806,222,3466,131,1339,164,1315,"Burwood",2639,916,223,2580,"11300",954,3282,253,39348,39864,40596,-1069,40686,40861,-0.428299993276596,1314,1102,-798,2730,1399,2736,7.1282000541687,-482,2422,33343,33708,32199,32893,-702,345,35095,34176,33835,3624,38536,240,37822,37200,36145,3854,-175,2818,2738,1468,3708,228,1,200,5707.75244140625,186,18,1416,30393,30980,30682,31696,3372,31370,2668,1421,117,353
