DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
NICH,Nicholls,324.0,VIC,NP,NP,0.7002938398572778,0.5249411166277796,0,0.1753527232294981,0.1753527232294981,52.67165197803164,10.606472246158727,1457.4389838980533,38342.04,146.88
SCUL,Scullin,232.0,VIC,ALP,ALP,0.7165637355814789,0.6957547723590598,0,0.020808963222419,0.020808963222419,46.08765587084286,11.030873320608702,1799.2554395756276,237932.0,-322.0
WANN,Wannon,233.0,VIC,LP,LP,0.6016518861161034,0.59150039025757,0,0.0101514958585334,0.0101514958585334,52.42606271210339,10.559801428453722,1440.3117258492737,16866.16,18.55999999999999
WILL,Wills,234.0,VIC,ALP,ALP,0.5846514666352528,0.549277097122471,0,0.0353743695127818,0.0353743695127818,45.7187992257114,11.231427315456669,1962.4629812438304,184707.0,-4969.0
BRAN,Brand,235.0,WA,ALP,ALP,0.5665514796096397,0.6143322156685186,0,-0.0477807360588788,-0.0477807360588788,46.09132394717994,11.017792599033562,1679.859767376421,111255.48,1096.44
BURT,Burt,317.0,WA,ALP,ALP,0.5549574331855154,0.5711017330899263,0,-0.0161442999044109,-0.0161442999044109,46.20836926791755,11.081716467403885,1719.1621767381998,110686.88,286.67999999999995
CANN,Canning,236.0,WA,LP,LP,0.6156092411020138,0.5679338177858783,0,0.0476754233161355,0.0476754233161355,48.75603881578751,10.46974125976018,1555.5248561057651,31643.04,389.5
COWA,Cowan,237.0,WA,ALP,ALP,0.5085998792999397,0.5067856091096495,0,0.0018142701902901,0.0018142701902901,47.06254015038407,11.216649201942934,1837.058151427576,183374.02,-312.32000000000005
CURT,Curtin,238.0,WA,LP,LP,0.639476948935489,0.70695163471853,0,-0.0674746857830409,-0.0674746857830409,44.97313068133534,10.48973301359529,1996.9254163290157,84113.94000000002,-775.8199999999998
DURA,Durack,312.0,WA,LP,LP,0.6348525706202202,0.6105569247219288,0,0.0242956458982913,0.0242956458982913,43.791008674486974,10.31902320512194,1644.8335796706504,7222.370000000002,-89.42999999999999
FORR,Forrest,239.0,WA,LP,LP,0.6457614822255706,0.625580049828199,0,0.0201814323973715,0.0201814323973715,50.665944678003015,10.968080998445892,1601.2790989750474,21843.42,216.68
FREM,Fremantle,240.0,WA,ALP,ALP,0.5691579860158282,0.5752038267590367,0,-0.0060458407432084,-0.0060458407432084,46.65991174278027,11.059456270424423,1894.5479407910568,107191.25,1259.88
HASL,Hasluck,305.0,WA,LP,LP,0.5588942703700043,0.5205351318753,0,0.0383591384947042,0.0383591384947042,48.86139272644684,11.184597317076726,1820.3023354038328,90759.07,847.79
MOOR,Moore,242.0,WA,LP,LP,0.616244292465057,0.6101547775429779,0,0.006089514922079,0.006089514922079,48.347382514825625,11.196315793502444,1990.5195198611327,165794.3,-1123.82
OCON,O'Connor,243.0,WA,LP,LP,0.6541465846767492,0.6504129569558516,0,0.0037336277208976,0.0037336277208976,42.27602705042048,10.034398169938038,1322.065422138012,4159.59,-55.13
PEAR,Pearce,244.0,WA,LP,LP,0.5519141464316244,0.536262524129056,0,0.0156516223025684,0.0156516223025684,45.57755283696279,11.157101662585308,1798.4937670489744,206934.4,1157.15
PERT,Perth,245.0,WA,ALP,ALP,0.5322689799433985,0.5333189845870551,0,-0.0010500046436565,-0.0010500046436565,43.379334918208,10.537070460937588,1748.9713436535887,88444.12000000001,-781.23
SWAN,Swan,247.0,WA,LP,LP,0.5322411213564934,0.5359204933539716,0,-0.0036793719974782,-0.0036793719974782,43.826243976623736,10.45972764570897,1690.0663895852256,55132.75,-361.01
TANG,Tangney,248.0,WA,LP,LP,0.5950474122050069,0.6106503919104889,0,-0.0156029797054819,-0.0156029797054819,43.79704089308505,10.331386326673035,1744.0286985745122,92541.66,-641.4
