DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
KSMI,Kingsford Smith,127.0,NSW,ALP,ALP,0.5880838348732729,0.5856904074500184,0,0.0023934274232544,0.0023934274232544,16.247639911435925,4.145221390042298,794.2508066805358,106322.6,-1528.2399999999998
LIND,Lindsay,128.0,NSW,LP,ALP,0.550434791536195,0.5111452125991308,1,0.0392895789370641,0.0615800041353257,46.494730862093455,10.822732183437022,1908.144820022344,219173.0,698.0
LYNE,Lyne,130.0,NSW,NP,NP,0.6517295908282269,0.6162923716057559,0,0.035437219222471,0.035437219222471,55.73361718768052,10.466784971041234,1365.3251894592013,81281.62,1146.4
MACA,Macarthur,131.0,NSW,ALP,ALP,0.5839966232513266,0.5833259186760388,0,0.0006707045752878,0.0006707045752878,46.57244300260119,10.923783610481928,1856.6960964629577,163452.80000000002,845.0
MACK,Mackellar,132.0,NSW,LP,LP,0.6322281248091836,0.6573628898438497,0,-0.0251347650346661,-0.0251347650346661,45.45101813265124,10.385161787190668,2167.081469796666,247687.44,-2884.7000000000003
MACQ,Macquarie,133.0,NSW,ALP,ALP,0.5019133376654186,0.5219459388531689,0,-0.0200326011877503,-0.0200326011877503,49.69479960618484,10.880068329995815,1929.6383408484496,71020.75,-319.03
MCMA,McMahon,315.0,NSW,ALP,ALP,0.5663696087501318,0.6211441456100792,0,-0.0547745368599474,-0.0547745368599474,46.56210775341478,10.915516399889198,1798.1779437280015,254444.66,-2003.38
MITC,Mitchell,134.0,NSW,LP,LP,0.686341700798897,0.678161801793899,0,0.008179899004998,0.008179899004998,48.1488424616043,11.41515063743005,2439.6238509530035,196986.04,2832.6
NENG,New England,135.0,NSW,NP,NP,0.6436189889025894,0.5851858869100248,0,0.0584331019925645,0.0584331019925645,40.03787498749895,7.874156516956535,1030.1509846021818,20103.23,-80.39999999999999
NEWC,Newcastle,136.0,NSW,ALP,ALP,0.6382644299339265,0.6383634806267949,0,-9.905069286841872e-05,-9.905069286841872e-05,43.66047024214642,9.992372610201468,1662.8843665787276,154915.33,927.09
NSYD,North Sydney,137.0,NSW,LP,LP,0.5927341071502333,0.6361041123738875,0,-0.0433700052236541,-0.0433700052236541,39.85766818684154,9.688541937028852,2039.4534476811407,49685.35,-1148.89
PAGE,Page,138.0,NSW,NP,NP,0.5944928849478969,0.5230470691698849,0,0.071445815778012,0.071445815778012,54.56399626748426,10.450599317925818,1312.2874028333306,40625.87,746.9200000000001
PARK,Parkes,139.0,NSW,NP,NP,0.6690544107629428,0.6510203427154265,0,0.0180340680475162,0.0180340680475162,50.02284332202496,10.400126641831603,1403.0166703839552,4232.14,-60.34
