lga_code_2021,lga_name_2021,area_km2,erp_2021,net_migration_2020_21
18450,Wollongong,684.3076171875,220659,34.0
18500,Woollahra,12.2583999633789,58480,-1282.0
18710,Yass Valley,3995.01708984375,17608,214.0
19399,Unincorporated NSW,93208.921875,925,-49.0
20110,Alpine,4788.1572265625,13069,141.0
20260,Ararat,4211.1171875,11922,-17.0
20570,Ballarat,739.032104492188,113183,1558.0
20660,Banyule,62.5401992797852,129387,-2940.0
20740,Bass Coast,865.809387207031,38825,1461.0
20830,Baw Baw,4027.62866210938,56583,1505.0
20910,Bayside (Vic.),37.2111015319824,105580,-1876.0
21010,Benalla,2352.63989257812,14131,47.0
21110,Boroondara,60.1776008605957,176632,-6552.0
21180,Brimbank,123.399101257324,201680,-7516.0
21270,Buloke,7998.2470703125,6071,-9.0
21370,Campaspe,4519.0732421875,37762,82.0
21450,Cardinia,1282.56713867188,118675,1370.0
21610,Casey,409.4287109375,368861,836.0
21670,Central Goldfields,1532.78430175781,13154,135.0
21750,Colac Otway,3437.46997070312,21532,-129.0
21830,Corangamite,4407.4921875,15813,-80.0
21890,Darebin,53.4711990356445,162501,-4436.0
22110,East Gippsland,20939.501953125,48376,828.0
22170,Frankston,129.598098754883,142147,-1842.0
22250,Gannawarra,3737.59790039062,10438,55.0
22310,Glen Eira,38.6907997131348,155123,-3668.0
22410,Glenelg,6218.78857421875,19559,-38.0
22490,Golden Plains,2703.38989257812,24765,377.0
22620,Greater Bendigo,2999.9716796875,121382,1039.0
22670,Greater Dandenong,129.546600341797,163266,-5908.0
22750,Greater Geelong,1247.98718261719,269508,3818.0
22830,Greater Shepparton,2421.9091796875,66786,-489.0
22910,Hepburn,1472.98425292969,16281,140.0
22980,Hindmarsh,7524.18212890625,5564,1.0
23110,Hobsons Bay,64.2405014038086,96317,-2306.0
23190,Horsham,4266.76904296875,19961,-72.0
23270,Hume,503.848785400391,243738,209.0
23350,Indigo,2040.47094726562,16979,82.0
23430,Kingston (Vic.),91.3675994873047,164680,-3122.0
23670,Knox,113.911399841309,162769,-2816.0
23810,Latrobe (Vic.),1425.61303710938,76156,142.0
23940,Loddon,6696.44482421875,7497,63.0
24130,Macedon Ranges,1748.28405761719,51743,645.0
24210,Manningham,113.347900390625,126924,-1925.0
24250,Mansfield,3843.853515625,9740,276.0
24330,Maribyrnong,31.2257995605469,93467,-2148.0
24410,Maroondah,61.4096984863281,117484,-2287.0
24600,Melbourne,37.5452003479004,169860,-14496.0
24650,Melton,527.537414550781,179107,4724.0
24780,Mildura,22081.919921875,55235,-778.0
24850,Mitchell,2862.08374023438,49216,1215.0
24900,Moira,4045.92016601562,30001,54.0
24970,Monash,81.4829025268555,197980,-7023.0
25060,Moonee Valley,43.1384010314941,129379,-2704.0
25150,Moorabool,2110.55029296875,36773,590.0
25250,Moreland,50.9522018432617,184707,-4969.0
25340,Mornington Peninsula,723.992004394531,168865,140.0
25430,Mount Alexander,1529.61828613281,20196,251.0
25490,Moyne,5481.68603515625,17221,120.0
25620,Murrindindi,3879.75048828125,14887,225.0
25710,Nillumbik,432.337310791016,64659,-770.0
25810,Northern Grampians,5729.87646484375,11381,-20.0
25900,Port Phillip,20.6140995025635,112092,-4919.0
25990,Pyrenees,3434.56860351562,7622,84.0
26080,Queenscliffe,8.61660003662109,3054,65.0
26170,South Gippsland,3296.33081054688,30455,244.0
26260,Southern Grampians,6654.0185546875,16047,-60.0
26350,Stonnington,25.6509990692139,114340,-4501.0
26430,Strathbogie,3303.2568359375,11167,209.0
26490,Surf Coast,1552.94396972656,36278,1296.0
26610,Swan Hill,6115.537109375,20159,-475.0
26670,Towong,6675.17236328125,6073,-15.0
26700,Wangaratta,3645.10961914062,29379,177.0
26730,Warrnambool,120.948699951172,35607,15.0
26810,Wellington,10817.4228515625,45092,319.0
26890,West Wimmera,9108.6796875,3750,-65.0
26980,Whitehorse,64.2800979614258,175970,-4944.0
27070,Whittlesea,489.693786621094,237932,-322.0
27170,Wodonga,433.002105712891,43186,357.0
27260,Wyndham,542.094299316406,289571,2815.0
27350,Yarra,19.5421009063721,99622,-3957.0
27450,Yarra Ranges,2468.205078125,158831,-1906.0
27630,Yarriambiack,7325.796875,6451,-104.0
29399,Unincorporated Vic,283.190307617188,910,13.0
30250,Aurukun,7423.9892578125,1347,-35.0
30300,Balonne,31104.0859375,4286,-64.0
30370,Banana,28550.162109375,13985,-181.0
30410,Barcaldine,53382.65234375,2800,-25.0
30450,Barcoo,61830.16796875,262,-5.0
30760,Blackall Tambo,30537.248046875,1827,-16.0
31000,Brisbane,1342.71728515625,1272461,-8188.0
31900,Burdekin,5043.931640625,16844,-106.0
31950,Burke,39681.22265625,354,-2.0
30900,Boulia,60906.46875,419,-2.0
31750,Bulloo,73722.0078125,322,-8.0
31820,Bundaberg,6431.0888671875,96914,569.0
32080,Cairns,1689.32275390625,168853,-669.0
32250,Carpentaria,64121.01171875,1971,-15.0
32260,Cassowary Coast,4687.82421875,29900,-178.0
32270,Central Highlands (Qld),59834.8359375,28548,-471.0
32310,Charters Towers,68382.1640625,11676,-50.0
33100,Etheridge,39199.296875,803,2.0
33200,Flinders (Qld),41199.9375,1522,5.0
33220,Fraser Coast,7104.5986328125,109856,1874.0
33360,Gladstone,10484.2861328125,64186,-167.0
33430,Gold Coast,1333.38598632812,643461,5126.0
33610,Goondiwindi,19265.708984375,10777,-100.0
33620,Gympie,6883.97802734375,53726,726.0
32330,Cherbourg,31.6002006530762,1354,-14.0
32450,Cloncurry,47971.2578125,3052,22.0
32500,Cook,105717.75,4638,15.0
32600,Croydon,29497.90234375,288,3.0
32750,Diamantina,94722.4296875,287,1.0
33800,Hinchinbrook,2807.18896484375,10656,39.0
32770,Doomadgee,1827.65185546875,1535,-12.0
32810,Douglas,2427.86254882812,12519,57.0
33830,Hope Vale,1111.7099609375,1157,3.0
33960,Ipswich,1093.85620117188,236708,4412.0
33980,Isaac,58707.91796875,20965,-269.0
34420,Kowanyama,2555.33251953125,1016,13.0
34530,Livingstone,11757.8681640625,39125,357.0
34570,Lockhart River,3576.68383789062,817,-2.0
34580,Lockyer Valley,2269.00537109375,42840,317.0
34590,Logan,958.13330078125,348020,2500.0
34710,Longreach,40572.24609375,3386,-36.0
34770,Mackay,7613.29638671875,118723,-41.0
34800,McKinlay,40736.80078125,832,2.0
34830,Mapoon,537.236572265625,346,3.0
34860,Maranoa,58719.34375,12706,-86.0
34880,Mareeba,53491.05078125,23309,111.0
35010,Moreton Bay,2041.47375488281,486645,4506.0
35250,Mornington,1247.69323730469,1233,-20.0
35300,Mount Isa,43715.19921875,18271,-562.0
35600,Murweh,40699.7578125,4150,-73.0
35670,Napranum,2004.34680175781,1114,2.0
35740,Noosa,869.86572265625,56796,281.0
35760,North Burnett,19669.849609375,10702,32.0
35780,Northern Peninsula Area,1052.06762695312,3255,-14.0
35790,Palm Island,71.9927978515625,2691,-4.0
35800,Paroo,47614.921875,1544,-25.0
36070,Pormpuraaw,4395.365234375,860,5.0
36150,Quilpie,67414.65625,769,-19.0
36250,Redland,537.167175292969,161463,659.0
36300,Richmond,26580.748046875,824,1.0
36370,Rockhampton,6570.2666015625,82311,-146.0
36510,Scenic Rim,4243.00146484375,44027,321.0
36580,Somerset,5373.43359375,26553,198.0
36630,South Burnett,8381.5576171875,32920,215.0
36660,Southern Downs,7106.43603515625,35433,52.0
36720,Sunshine Coast,2253.85229492188,343590,6085.0
36820,Tablelands,11292.869140625,25697,73.0
36910,Toowoomba,12957.2099609375,171135,-90.0
36950,Torres,883.740173339844,3958,1.0
36960,Torres Strait Island,490.045288085938,5236,-6.0
37010,Townsville,3730.81982421875,197992,-92.0
37300,Weipa,10.4643001556396,4556,40.0
37310,Western Downs,37922.5,34560,-245.0
37340,Whitsunday,23818.97265625,36154,45.0
40700,Burnside,27.5182991027832,45869,-261.0
40910,Campbelltown (SA),24.3484992980957,53084,-122.0
37400,Winton,53813.484375,1140,-2.0
41010,Ceduna,5420.34326171875,3401,-40.0
37550,Woorabinda,390.557800292969,1001,4.0
41060,Charles Sturt,54.7876014709473,121065,-107.0
41140,Clare and Gilbert Valleys,1892.44665527344,9463,-11.0
41560,Copper Coast,772.914916992188,15352,270.0
37570,Wujal Wujal,11.8420000076294,319,1.0
37600,Yarrabah,158.838104248047,2955,-2.0
41330,Coober Pedy,77.6794967651367,1775,-54.0
40070,Adelaide,15.5733003616333,25746,-475.0
40120,Adelaide Hills,794.495727539062,40233,-63.0
40150,Adelaide Plains,932.491271972656,9655,137.0
40220,Alexandrina,1826.806640625,28510,677.0
40250,Anangu Pitjantjatjara Yunkunytjatjara,102348.1171875,2632,18.0
40310,Barossa,893.542419433594,25449,180.0
40430,Barunga West,1590.388671875,2571,32.0
40520,Berri Barmera,476.196197509766,10746,-39.0
41190,Cleve,5018.84814453125,1785,-2.0
41750,Elliston,6741.931640625,1004,-11.0
41830,Flinders Ranges,4070.48266601562,1701,13.0
41960,Franklin Harbour,2755.56396484375,1309,15.0
42030,Gawler,41.1379013061523,25161,380.0
42110,Goyder,6715.1416015625,4174,17.0
42250,Grant,1897.82348632812,8646,-5.0
42600,Holdfast Bay,13.7519998550415,37806,56.0
42750,Kangaroo Island,4400.86279296875,5108,79.0
43080,Karoonda East Murray,4415.7958984375,1095,-7.0
43650,Light,1276.84533691406,15626,41.0
43710,Lower Eyre Peninsula,4721.39208984375,5851,3.0
43790,Loxton Waikerie,7763.87158203125,11780,35.0
