DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
DOBE,Dobell,115.0,NSW,ALP,ALP,0.5149576651257233,0.5481411754970312,0,-0.0331835103713079,-0.0331835103713079,51.83989944253507,10.75383551635965,1679.2038561113936,347158.0,684.0,Dobell,0.1776373522458629
EMON,Eden-Monaro,117.0,NSW,ALP,ALP,0.5084878953042041,0.5293059098751971,0,-0.0208180145709929,-0.0208180145709929,51.23276927304683,10.905361195118326,1692.6867038107405,27697.0054416442,233.3854529481525,Eden-Monaro,0.11384502712477394
FARR,Farrer,118.0,NSW,LP,LP,0.6093635924276857,0.7052671905900869,0,-0.0959035981624012,-0.0959035981624012,52.21593674741912,10.47456733267508,1454.8152916807023,6439.193807394218,35.83217917024264,Farrer,0.1434188741721854
FOWL,Fowler,119.0,NSW,ALP,ALP,0.6399407152419201,0.6748731862687272,0,-0.034932471026807,-0.034932471026807,47.33263182151608,10.850264346992144,1662.9762486588857,216348.51687271023,-2171.631748945231,Fowler,0.4510333333333333
GILM,Gilmore,120.0,NSW,ALP,LP,0.5261290712036926,0.5072841648169508,1,0.0188449063867417,0.0334132360206433,55.083754199738166,10.59660602668132,1435.346754021567,88728.01846657527,1316.003970609817,Gilmore,0.054493771234428105
GRAY,Grayndler,121.0,NSW,ALP,ALP,0.6630450664829775,0.6582197857191602,0,0.0048252807638172,0.0048252807638172,45.78462788784242,11.454185936508935,2270.4309472016066,204409.44450400484,-3345.040567879598,Grayndler,0.26259852941176465
GREE,Greenway,122.0,NSW,ALP,ALP,0.5279717717025977,0.5631040714838971,0,-0.0351322997812993,-0.0351322997812993,45.76757240279037,11.096556578079586,2025.412883889592,380681.3475165073,-192.72580082514327,Greenway,0.43445
HUGH,Hughes,124.0,NSW,LP,LP,0.5984752489763433,0.5932541375191946,0,0.0052211114571486,0.0052211114571486,49.09534557690101,11.121874776105043,2130.221691181917,234414.57464858616,892.6596512933893,Hughes,0.3462090909090909
HUME,Hume,125.0,NSW,LP,LP,0.6298881318209328,0.6017929378054947,0,0.0280951940154381,0.0280951940154381,52.86263665359941,10.633707715425334,1649.0838130661832,25277.972325145995,159.78290468214786,Hume,0.1642355371900827
HUNT,Hunter,126.0,NSW,ALP,ALP,0.5297669221570972,0.6246242199324115,0,-0.0948572977753142,-0.0948572977753142,48.15973719967554,10.547065731886876,1795.5954284654708,36866.3621743325,252.0771710441828,Hunter,0.15153179916317988
KSMI,Kingsford Smith,127.0,NSW,ALP,ALP,0.5880838348732729,0.5856904074500184,0,0.0023934274232544,0.0023934274232544,45.13233308732202,11.514503861228608,2206.2522407792662,166173.4760347773,-2382.5615592074805,Kingsford Smith,0.3513655172413794
LIND,Lindsay,128.0,NSW,LP,ALP,0.550434791536195,0.5111452125991308,1,0.0392895789370641,0.0615800041353257,46.494730862093455,10.822732183437022,1908.144820022344,219173.0,698.0,Lindsay,0.6380454545454545
